x;person1;person2;robot
56.518;59.209;;
56.518;59.209;;
56.518;59.209;;
56.518;59.209;;
56.518;59.209;;
56.636;59.463;;
56.636;59.463;;
56.636;59.463;;
56.636;59.463;;
56.636;59.463;;
56.452;;58.566;
56.452;;58.566;
56.452;;58.566;
56.452;;58.566;
56.452;;58.566;
56.415;;58.184;
56.452;;57.963;
56.452;;57.963;
56.452;;57.963;
56.452;;57.963;
60.942;;;61.322
59.972;;;60.668
59.281;;;60.080
58.267;;;59.404
57.547;;;59.029
56.797;;;58.759
55.695;;;58.643
54.725;;;58.759
53.710;;;58.897
52.637;;;58.759
