x;person1;person2;robot;
"53.725";"59.727";"";"";
"53.725";"59.727";"";"";
"53.725";"59.727";"";"";
"53.725";"59.727";"";"";
"53.725";"59.727";"";"";
"53.725";"59.727";"";"";
"53.725";"59.764";"";"";
"53.725";"59.764";"";"";
"53.725";"59.764";"";"";
"53.725";"59.764";"";"";
"54.350";"";"59.625";"";
"54.350";"";"59.625";"";
"54.350";"";"59.625";"";
"54.350";"";"59.625";"";
"54.350";"";"59.625";"";
"54.350";"";"59.625";"";
"54.350";"";"59.625";"";
"54.350";"";"59.625";"";
"54.350";"";"59.625";"";
"54.350";"";"59.625";"";
"49.741";"";"";"53.585";
"50.888";"";"";"54.345";
"52.064";"";"";"55.055";
"52.983";"";"";"55.788";
"53.725";"";"";"56.552";
"54.493";"";"";"57.434";
"55.210";"";"";"58.345";
"55.504";"";"";"59.492";
"55.797";"";"";"60.520";
"56.224";"";"";"61.477";


